fir_number,incident_date,incident_time,timestamp,district,police_station,crime_category,sub_category,latitude,longitude,severity_score,status,modus_operandi,suspect_id,suspect_name,gang_affiliation,estimated_loss_inr,is_cybercrime,repeat_offender
FIR-2026-HUB-1026,2026-01-29,03:59:56,2026-01-29T03:59:56.033920,Hubballi-Dharwad,Vidyanagar PS,Assault & Violent Crime,Group Assault,15.285993,75.170862,9,Charge Sheeted,Pre-meditated attack,SUS-1005,Vikram Singh,North India Cyber Syndicate,216000.0,0,0
FIR-2025-BEN-1027,2025-08-14,01:22:56,2025-08-14T01:22:56.033920,Bengaluru City,Indiranagar PS,Robbery & Extortion,Armed Robbery,12.988623,77.602516,9,Solved,Posing as local gang member,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,2700000.0,0,1
FIR-2026-MAN-1028,2026-07-01,01:34:56,2026-07-01T01:34:56.033920,Mangaluru,Pandeshwar PS,Robbery & Extortion,Armed Robbery,12.93583,74.884098,8,Pending,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
FIR-2025-BEN-1029,2025-09-08,23:41:56,2025-09-08T23:41:56.033920,Bengaluru City,Hebbal PS,Cybercrime,Phishing / OTP Fraud,12.956006,77.704054,7,Charge Sheeted,Fake Tech Support,UNKNOWN,Unidentified Suspect,None,2100000.0,1,0
FIR-2026-BAL-1030,2026-04-17,18:40:56,2026-04-17T18:40:56.033920,Ballari,Cowled Bazar PS,Chain Snatching & Theft,Vehicle Theft,15.127145,76.868329,5,Suspect Identified,Master key ignition,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,120000.0,0,1
FIR-2026-HUB-1031,2026-04-26,10:31:56,2026-04-26T10:31:56.033920,Hubballi-Dharwad,Dharwad Town PS,Robbery & Extortion,Highway Dacoity,15.40423,75.083153,9,Charge Sheeted,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,810000.0,0,0
FIR-2025-BEN-1032,2025-11-26,19:38:56,2025-11-26T19:38:56.033920,Bengaluru City,Jayanagar PS,Assault & Violent Crime,Group Assault,13.11043,77.524439,9,Solved,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,90000.0,0,0
FIR-2025-HUB-1033,2025-12-31,15:59:56,2025-12-31T15:59:56.033920,Hubballi-Dharwad,Vidyanagar PS,Assault & Violent Crime,Grievous Hurt,15.327539,75.170246,7,Pending,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,630000.0,0,0
FIR-2025-KAL-1034,2025-11-24,01:08:56,2025-11-24T01:08:56.033920,Kalaburagi,Brahampur PS,Robbery & Extortion,Highway Dacoity,17.357449,76.843773,8,Under Investigation,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,24000.0,0,0
FIR-2025-KAL-1035,2025-11-05,20:01:56,2025-11-05T20:01:56.033920,Kalaburagi,Chowk PS,Narcotics,Ganja Possession,17.329707,76.904344,6,Solved,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,60000.0,0,0
FIR-2025-HUB-1036,2025-11-02,10:27:56,2025-11-02T10:27:56.033920,Hubballi-Dharwad,Dharwad Town PS,Commercial Fraud,Real Estate Scam,15.408878,75.057819,8,Pending,Fake government sanction letter,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
FIR-2026-KAL-1037,2026-05-09,09:33:56,2026-05-09T09:33:56.033920,Kalaburagi,Chowk PS,Commercial Fraud,Ponzi Scheme,17.291859,76.796877,4,Under Investigation,Fake visa offer,SUS-1005,Vikram Singh,North India Cyber Syndicate,12000.0,0,1
FIR-2025-HUB-1038,2025-10-28,01:46:56,2025-10-28T01:46:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Narcotics,MDMA / Synthetic Drugs,15.383026,75.13517,10,Charge Sheeted,Darkweb ordering + Dead drop,SUS-1008,Deepak Sharma,DarkNet Syndicate,240000.0,0,1
FIR-2025-TUM-1039,2025-09-12,06:03:56,2025-09-12T06:03:56.033920,Tumakuru,Kyathsandra PS,Assault & Violent Crime,Group Assault,13.302845,77.112562,6,Suspect Identified,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-BEL-1040,2025-12-22,22:41:56,2025-12-22T22:41:56.033920,Belagavi,Khade Bazar PS,Narcotics,Inter-State Drug Trafficking,15.79016,74.555844,6,Under Investigation,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,18000.0,0,0
FIR-2025-BAL-1041,2025-07-25,19:54:56,2025-07-25T19:54:56.033920,Ballari,Gandhinagar PS,Chain Snatching & Theft,Vehicle Theft,15.087518,76.941461,4,Under Investigation,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,96000.0,0,0
FIR-2026-BEL-1042,2026-03-30,12:44:56,2026-03-30T12:44:56.033920,Belagavi,APMC PS,Narcotics,Ganja Possession,15.916658,74.449876,9,Charge Sheeted,Near college campuses,SUS-1004,Kiran @ Shadow,MG Road Gang,0.0,0,1
FIR-2026-TUM-1043,2026-06-12,13:20:56,2026-06-12T13:20:56.033920,Tumakuru,Kyathsandra PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,13.282653,77.13666,7,Charge Sheeted,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,7000.0,0,0
FIR-2025-MAN-1044,2025-10-14,22:40:56,2025-10-14T22:40:56.033920,Mangaluru,Pandeshwar PS,Robbery & Extortion,Highway Dacoity,12.926041,74.870173,8,Under Investigation,Posing as local gang member,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,2400000.0,0,1
FIR-2025-HUB-1045,2025-12-28,18:22:56,2025-12-28T18:22:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Commercial Fraud,Ponzi Scheme,15.400225,75.191428,6,Suspect Identified,Fake government sanction letter,SUS-1001,Ramesh 'Blade' Kumar,MG Road Gang,540000.0,0,1
FIR-2026-MAN-1046,2026-03-31,08:56:56,2026-03-31T08:56:56.033920,Mangaluru,Kadri PS,Chain Snatching & Theft,House Burglary,12.977894,74.886888,4,Charge Sheeted,Pillion rider snatching on Pulsar bike,SUS-1007,Praveen Gowda,Koramangala Network,40000.0,0,0
FIR-2026-BEN-1047,2026-01-08,09:32:56,2026-01-08T09:32:56.033920,Bengaluru City,Jayanagar PS,Assault & Violent Crime,Grievous Hurt,12.972136,77.665633,9,Under Investigation,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,9000.0,0,0
FIR-2025-MYS-1048,2025-11-09,03:30:56,2025-11-09T03:30:56.033920,Mysuru,Devaraja PS,Assault & Violent Crime,Street Brawl,12.270412,76.561302,7,Under Investigation,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,630000.0,0,0
FIR-2026-BEN-1049,2026-03-01,21:40:56,2026-03-01T21:40:56.033920,Bengaluru City,Hebbal PS,Narcotics,Ganja Possession,12.933373,77.474957,8,Under Investigation,Darkweb ordering + Dead drop,SUS-1008,Deepak Sharma,DarkNet Syndicate,2400000.0,0,1
FIR-2025-BAL-1050,2025-08-23,00:42:56,2025-08-23T00:42:56.033920,Ballari,Brucepet PS,Narcotics,MDMA / Synthetic Drugs,15.143396,76.860604,8,Under Investigation,Courier shipment concealed in electronics,SUS-1004,Kiran @ Shadow,MG Road Gang,80000.0,0,1
FIR-2026-HUB-1051,2026-04-12,13:03:56,2026-04-12T13:03:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Narcotics,Ganja Possession,15.328207,75.149059,10,Suspect Identified,Near college campuses,SUS-1003,Manjunath V,Koramangala Network,900000.0,0,0
FIR-2025-MAN-1052,2025-09-27,20:21:56,2025-09-27T20:21:56.033920,Mangaluru,Kadri PS,Cybercrime,Financial Fraud,12.903129,74.866487,4,Charge Sheeted,Malware Link via WhatsApp,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,0.0,1,0
FIR-2026-BAL-1053,2026-01-31,06:22:56,2026-01-31T06:22:56.033920,Ballari,Brucepet PS,Commercial Fraud,Job Fraud,15.131973,76.926425,4,Pending,Fake visa offer,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-HUB-1054,2025-10-22,15:10:56,2025-10-22T15:10:56.033920,Hubballi-Dharwad,Vidyanagar PS,Cybercrime,Identity Theft,15.356744,75.187129,4,Charge Sheeted,Fake Tech Support,SUS-1008,Deepak Sharma,DarkNet Syndicate,4000.0,1,0
FIR-2026-MYS-1055,2026-02-24,18:22:56,2026-02-24T18:22:56.033920,Mysuru,Kuuvempunagar PS,Chain Snatching & Theft,Vehicle Theft,12.260162,76.594903,7,Under Investigation,Unlocked house entry at night,SUS-1003,Manjunath V,Koramangala Network,21000.0,0,1
FIR-2025-BEL-1056,2025-11-12,21:14:56,2025-11-12T21:14:56.033920,Belagavi,Tilakwadi PS,Commercial Fraud,Job Fraud,15.826545,74.439522,8,Solved,Fake government sanction letter,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,24000.0,0,1
FIR-2025-BEN-1057,2025-10-01,13:48:56,2025-10-01T13:48:56.033920,Bengaluru City,Hebbal PS,Chain Snatching & Theft,Vehicle Theft,12.933581,77.648552,6,Charge Sheeted,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,540000.0,0,0
FIR-2025-KAL-1058,2025-12-07,20:06:56,2025-12-07T20:06:56.033920,Kalaburagi,M B Nagar PS,Narcotics,Ganja Possession,17.289034,76.75789,7,Suspect Identified,Near college campuses,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,630000.0,0,1
FIR-2026-BAL-1059,2026-01-01,13:16:56,2026-01-01T13:16:56.033920,Ballari,Gandhinagar PS,Assault & Violent Crime,Street Brawl,15.075193,76.949699,5,Charge Sheeted,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,450000.0,0,0
FIR-2026-BEL-1060,2026-01-27,05:25:56,2026-01-27T05:25:56.033920,Belagavi,Tilakwadi PS,Cybercrime,Identity Theft,15.833364,74.527298,5,Solved,Fake Tech Support,SUS-1008,Deepak Sharma,DarkNet Syndicate,120000.0,1,0
FIR-2025-BEN-1061,2025-07-26,14:23:56,2025-07-26T14:23:56.033920,Bengaluru City,Hebbal PS,Chain Snatching & Theft,House Burglary,12.920908,77.510098,3,Pending,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,72000.0,0,0
FIR-2025-HUB-1062,2025-09-25,16:45:56,2025-09-25T16:45:56.033920,Hubballi-Dharwad,Vidyanagar PS,Robbery & Extortion,Highway Dacoity,15.449904,75.072997,7,Pending,Posing as local gang member,SUS-1007,Praveen Gowda,Koramangala Network,168000.0,0,1
FIR-2025-BEL-1063,2025-11-13,12:56:56,2025-11-13T12:56:56.033920,Belagavi,Tilakwadi PS,Cybercrime,Financial Fraud,15.784374,74.54787,4,Pending,Fake Tech Support,SUS-1001,Ramesh 'Blade' Kumar,MG Road Gang,360000.0,1,0
FIR-2025-MYS-1064,2025-08-11,23:21:56,2025-08-11T23:21:56.033920,Mysuru,Vidyaranyapuram PS,Narcotics,MDMA / Synthetic Drugs,12.231773,76.716637,10,Solved,Courier shipment concealed in electronics,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,30000.0,0,1
FIR-2026-BAL-1065,2026-07-19,04:21:56,2026-07-19T04:21:56.033920,Ballari,Cowled Bazar PS,Cybercrime,Sextortion,15.191088,76.87801,8,Pending,Posing as Bank Executive,UNKNOWN,Unidentified Suspect,None,8000.0,1,0
FIR-2026-HUB-1066,2026-03-13,08:57:56,2026-03-13T08:57:56.033920,Hubballi-Dharwad,Dharwad Town PS,Commercial Fraud,Real Estate Scam,15.324528,75.157445,5,Charge Sheeted,Fake visa offer,SUS-1003,Manjunath V,Koramangala Network,15000.0,0,1
FIR-2026-BAL-1067,2026-06-19,16:32:56,2026-06-19T16:32:56.033920,Ballari,Brucepet PS,Robbery & Extortion,Armed Robbery,15.144199,76.88346,7,Suspect Identified,Posing as local gang member,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,7000.0,0,0
FIR-2026-MYS-1068,2026-01-03,09:21:56,2026-01-03T09:21:56.033920,Mysuru,Lashkar PS,Narcotics,Ganja Possession,12.254811,76.642235,10,Solved,Courier shipment concealed in electronics,SUS-1003,Manjunath V,Koramangala Network,30000.0,0,1
FIR-2025-BEL-1069,2025-10-27,06:27:56,2025-10-27T06:27:56.033920,Belagavi,Tilakwadi PS,Robbery & Extortion,Highway Dacoity,15.852988,74.487849,8,Solved,Sharp weapon threat at night,SUS-1008,Deepak Sharma,DarkNet Syndicate,24000.0,0,1
FIR-2026-BAL-1070,2026-07-06,16:30:56,2026-07-06T16:30:56.033920,Ballari,Cowled Bazar PS,Cybercrime,Financial Fraud,15.146363,76.866147,7,Charge Sheeted,Posing as Bank Executive,UNKNOWN,Unidentified Suspect,None,70000.0,1,0
FIR-2025-MAN-1071,2025-08-16,06:58:56,2025-08-16T06:58:56.033920,Mangaluru,Kadri PS,Commercial Fraud,Job Fraud,12.91157,74.920295,5,Charge Sheeted,Fake visa offer,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,450000.0,0,1
FIR-2025-BAL-1072,2025-12-05,02:49:56,2025-12-05T02:49:56.033920,Ballari,Cowled Bazar PS,Chain Snatching & Theft,Vehicle Theft,15.079647,76.963153,6,Solved,Master key ignition,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-TUM-1073,2026-05-06,23:32:56,2026-05-06T23:32:56.033920,Tumakuru,New Extension PS,Robbery & Extortion,Highway Dacoity,13.386409,77.136493,9,Solved,Posing as local gang member,SUS-1004,Kiran @ Shadow,MG Road Gang,216000.0,0,1
FIR-2025-BEL-1074,2025-12-29,08:52:56,2025-12-29T08:52:56.033920,Belagavi,APMC PS,Narcotics,MDMA / Synthetic Drugs,15.859617,74.539251,9,Solved,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,9000.0,0,0
FIR-2026-BEL-1075,2026-01-01,06:42:56,2026-01-01T06:42:56.033920,Belagavi,Tilakwadi PS,Assault & Violent Crime,Group Assault,15.91785,74.425177,9,Charge Sheeted,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-TUM-1076,2026-02-01,06:50:56,2026-02-01T06:50:56.033920,Tumakuru,New Extension PS,Narcotics,Inter-State Drug Trafficking,13.388828,77.125609,8,Pending,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
FIR-2025-HUB-1077,2025-10-28,20:33:56,2025-10-28T20:33:56.033920,Hubballi-Dharwad,Bendigeri PS,Assault & Violent Crime,Street Brawl,15.369204,75.15582,6,Under Investigation,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,18000.0,0,0
FIR-2025-BAL-1078,2025-12-23,16:31:56,2025-12-23T16:31:56.033920,Ballari,Cowled Bazar PS,Cybercrime,Sextortion,15.109174,76.965191,8,Pending,Malware Link via WhatsApp,UNKNOWN,Unidentified Suspect,None,8000.0,1,0
FIR-2026-MAN-1079,2026-07-07,01:17:56,2026-07-07T01:17:56.033920,Mangaluru,Ullal PS,Chain Snatching & Theft,Mobile Theft,12.845031,74.851913,4,Under Investigation,Master key ignition,SUS-1009,Farooq Ahmed,Coastal Smugglers,360000.0,0,1
FIR-2025-HUB-1080,2025-10-07,21:15:56,2025-10-07T21:15:56.033920,Hubballi-Dharwad,Dharwad Town PS,Cybercrime,Sextortion,15.349644,75.147545,7,Solved,Malware Link via WhatsApp,UNKNOWN,Unidentified Suspect,None,168000.0,1,0
FIR-2026-BAL-1081,2026-03-01,11:22:56,2026-03-01T11:22:56.033920,Ballari,Cowled Bazar PS,Commercial Fraud,Job Fraud,15.100412,76.878065,8,Suspect Identified,Fake visa offer,SUS-1004,Kiran @ Shadow,MG Road Gang,8000.0,0,0
FIR-2026-BEN-1082,2026-06-29,07:11:56,2026-06-29T07:11:56.033920,Bengaluru City,Jayanagar PS,Robbery & Extortion,Extortion Call,13.039829,77.58852,7,Solved,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,7000.0,0,0
FIR-2025-BEN-1083,2025-11-17,06:15:56,2025-11-17T06:15:56.033920,Bengaluru City,Rajajinagar PS,Robbery & Extortion,Highway Dacoity,12.88379,77.610803,10,Suspect Identified,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,900000.0,0,0
FIR-2026-KAL-1084,2026-02-28,08:23:56,2026-02-28T08:23:56.033920,Kalaburagi,Chowk PS,Chain Snatching & Theft,House Burglary,17.393909,76.798224,7,Solved,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,630000.0,0,0
FIR-2026-BEL-1085,2026-01-28,18:06:56,2026-01-28T18:06:56.033920,Belagavi,Khade Bazar PS,Commercial Fraud,Job Fraud,15.798418,74.53573,5,Under Investigation,Fake visa offer,UNKNOWN,Unidentified Suspect,None,15000.0,0,0
FIR-2026-KAL-1086,2026-04-01,18:05:56,2026-04-01T18:05:56.033920,Kalaburagi,Station Bazar PS,Assault & Violent Crime,Group Assault,17.275851,76.77346,7,Suspect Identified,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,630000.0,0,0
FIR-2025-HUB-1087,2025-08-11,13:05:56,2025-08-11T13:05:56.033920,Hubballi-Dharwad,Bendigeri PS,Narcotics,MDMA / Synthetic Drugs,15.400655,75.1595,9,Pending,Near college campuses,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-MYS-1088,2025-12-03,22:36:56,2025-12-03T22:36:56.033920,Mysuru,Kuuvempunagar PS,Cybercrime,Crypto Scam,12.349568,76.704182,7,Under Investigation,Phishing Site,SUS-1007,Praveen Gowda,Koramangala Network,0.0,1,1
FIR-2025-HUB-1089,2025-10-27,03:37:56,2025-10-27T03:37:56.033920,Hubballi-Dharwad,Bendigeri PS,Chain Snatching & Theft,House Burglary,15.335661,75.21264,7,Under Investigation,Master key ignition,SUS-1007,Praveen Gowda,Koramangala Network,7000.0,0,1
FIR-2026-BEN-1090,2026-02-28,06:13:56,2026-02-28T06:13:56.033920,Bengaluru City,Rajajinagar PS,Narcotics,Ganja Possession,13.075256,77.620358,7,Charge Sheeted,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,21000.0,0,0
FIR-2026-BAL-1091,2026-07-16,09:01:56,2026-07-16T09:01:56.033920,Ballari,Cowled Bazar PS,Narcotics,MDMA / Synthetic Drugs,15.15488,76.944016,8,Pending,Darkweb ordering + Dead drop,SUS-1003,Manjunath V,Koramangala Network,720000.0,0,0
FIR-2026-HUB-1092,2026-02-20,17:21:56,2026-02-20T17:21:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Commercial Fraud,Job Fraud,15.401682,75.210395,5,Pending,Fake visa offer,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,5000.0,0,0
FIR-2026-HUB-1093,2026-06-24,10:23:56,2026-06-24T10:23:56.033920,Hubballi-Dharwad,Dharwad Town PS,Assault & Violent Crime,Group Assault,15.298791,75.107607,9,Suspect Identified,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,810000.0,0,0
FIR-2026-BAL-1094,2026-05-07,05:14:56,2026-05-07T05:14:56.033920,Ballari,Cowled Bazar PS,Robbery & Extortion,Armed Robbery,15.197002,76.890287,10,Pending,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-MYS-1095,2026-01-16,16:28:56,2026-01-16T16:28:56.033920,Mysuru,Vidyaranyapuram PS,Assault & Violent Crime,Grievous Hurt,12.224844,76.684161,9,Charge Sheeted,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-BEL-1096,2026-01-02,03:03:56,2026-01-02T03:03:56.033920,Belagavi,APMC PS,Chain Snatching & Theft,Mobile Theft,15.883858,74.423222,5,Suspect Identified,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,120000.0,0,0
FIR-2025-BEL-1097,2025-08-20,19:12:56,2025-08-20T19:12:56.033920,Belagavi,Khade Bazar PS,Narcotics,MDMA / Synthetic Drugs,15.924838,74.453825,10,Charge Sheeted,Near college campuses,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,30000.0,0,1
FIR-2025-KAL-1098,2025-09-27,08:09:56,2025-09-27T08:09:56.033920,Kalaburagi,Chowk PS,Robbery & Extortion,Extortion Call,17.337146,76.785509,7,Pending,Posing as local gang member,SUS-1008,Deepak Sharma,DarkNet Syndicate,21000.0,0,0
